#STAMP {"kind":"bench-stamp/v1","date":"2026-07-17T01:18:11.145Z","protocol":"isolated-per-row","reps":3,"node":"v26.3.1","arch":"arm64","platform":"darwin","cpu":"Apple M4 Pro","gcExposed":true,"enginePath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/Signal.js","engineSha256":"1b7f332d6e55edcce9cfe3afa525e14db95521bc69ead0cf748d6d505f7e6d7f","harnessPath":"/Users/zakkster/Work/Portfolio/LiteLibrariesSuite/LiteSignal1.5.0-beta/bench/mirror.mjs","harnessSha256":"b7adc35f38454cdcb612557414a92ead3780d32f6e0ef9b935c8f052c29dcbbc","config":{"maxNodes":131072,"maxLinks":1048576,"prealloc":"lazy","onCapacityExceeded":"grow"},"extra":{"ceiling_ms":1500,"quick":false,"adapter":"andrii-canonical","scenario":"dashboard selective reads"}}
framework , test , time , metrics
alien-signals          , 64x6 - 4 sources - dynamic - read 12% (dashboard selective reads) , 172.19   , nodesRecomputed=2642029 nodesVisited=2642029 edgesTraversed=10568081 sinkReads=960008
alien-signals          , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 247.63   , nodesRecomputed=4736332 nodesVisited=4736332 edgesTraversed=14208887 sinkReads=900010
alien-signals          , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 146.38   , nodesRecomputed=1765496 nodesVisited=1765496 edgesTraversed=8827231 sinkReads=660022
alien-signals          , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 327.64   , nodesRecomputed=3984210 nodesVisited=3984210 edgesTraversed=15936789 sinkReads=720024
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources (layered full-drain cold) , 33.19    , nodesRecomputed=249624 nodesVisited=249624 edgesTraversed=998496 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 4 - layered-dag - 4 sources - warm 320 (layered full-drain warm) , 32.95    , nodesRecomputed=235200 nodesVisited=235200 edgesTraversed=940800 sinkReads=61952
alien-signals          , 256->512x32 - fanIn 8 - layered-dag - 8 sources - burst 16 - warm 256 - per-batch (layered burst flush warm) , 332.54   , nodesRecomputed=1529088 nodesVisited=1529088 edgesTraversed=12232704 sinkReads=49664
alien-signals          , 256->512x32 - fanIn 8 - diamond-mesh - 8 sources - warm 256 (stable diamond mesh warm) , 3.96     , nodesRecomputed=24576 nodesVisited=24576 edgesTraversed=196608 sinkReads=49664
alien-signals          , 32x8 - 4 sources - pull (pure pull)                          , 0.43     , nodesRecomputed=224 nodesVisited=224 edgesTraversed=896 sinkReads=32
alien-signals          , 8x64 - 1 sources - pull (linear chain - 1 source - pull (linear pull)) , 0.71     , nodesRecomputed=504 nodesVisited=504 edgesTraversed=504 sinkReads=8
alien-signals          , 64x4 - 8 sources - pull (wide tree - 8 sources - pull (branchy pull)) , 0.41     , nodesRecomputed=192 nodesVisited=192 edgesTraversed=1536 sinkReads=64
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 73.53    , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 114.82   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 110.20   , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 255.44   , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 357.40   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000
alien-signals          , 5x500 - 3 sources (deep)                                     , 92.29    , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505
alien-signals          , avoidablePropagation                                         , 64.99    , 
alien-signals          , broadPropagation                                             , 134.38   , 
alien-signals          , deepPropagation                                              , 43.56    , 
alien-signals          , diamond                                                      , 86.07    , 
alien-signals          , mux                                                          , 161.16   , 
alien-signals          , repeatedObservers                                            , 26.34    , 
alien-signals          , triangle                                                     , 32.54    , 
alien-signals          , unstable                                                     , 37.67    , 
alien-signals          , manyEffectsFromOneSource                                     , 104.89   , checksum=180075672000
alien-signals          , manySourcesIntoOneComputedEffectWithDirect                   , 94.01    , checksum=1372929289844
alien-signals          , manySourcesIntoOneComputedEffect                             , 90.19    , checksum=1331323690944
alien-signals          , manySourcesIntoOneDirectEffect                               , 29.51    , checksum=41605598900
alien-signals          , molBench                                                     , 160.64   , 
alien-signals          , createDataSignals                                            , 2.31     , 
alien-signals          , createComputations0to1                                       , 2.04     , 
alien-signals          , createComputations1to1                                       , 5.97     , 
alien-signals          , createComputations2to1                                       , 2.62     , 
alien-signals          , createComputations4to1                                       , 2.06     , 
alien-signals          , createComputations1000to1                                    , 0.02     , 
alien-signals          , createComputations1to2                                       , 4.54     , 
alien-signals          , createComputations1to4                                       , 3.03     , 
alien-signals          , createComputations1to8                                       , 2.17     , 
alien-signals          , createComputations1to1000                                    , 2.15     , 
alien-signals          , updateComputations1to1                                       , 1.72     , 
alien-signals          , updateComputations2to1                                       , 0.94     , 
alien-signals          , updateComputations4to1                                       , 0.45     , 
alien-signals          , updateComputations1000to1                                    , 0.01     , 
alien-signals          , updateComputations1to2                                       , 0.91     , 
alien-signals          , updateComputations1to4                                       , 0.46     , 
alien-signals          , updateComputations1to1000                                    , 0.02     , 
